date,state,cases_import,cases_new,cases_recovered
8/7/21,Pahang,0,714,377
8/7/21,Perak,0,774,780
8/7/21,Perlis,0,41,12
8/7/21,Pulau Pinang,0,959,484
8/7/21,Sabah,0,1255,653
8/7/21,Sarawak,0,573,395
8/7/21,Selangor,1,7084,7145
8/7/21,Terengganu,0,425,359
8/7/21,W.P. Kuala Lumpur,15,2450,2273
8/7/21,W.P. Labuan,0,2,5
8/7/21,W.P. Putrajaya,0,56,62
8/8/21,Johor,1,1308,967
8/8/21,Kedah,0,1610,1356
8/8/21,Kelantan,0,870,470
8/8/21,Melaka,0,526,471
8/8/21,Negeri Sembilan,0,1140,595
8/8/21,Pahang,0,602,497
8/8/21,Perak,0,861,829
8/8/21,Perlis,0,6,12
8/8/21,Pulau Pinang,0,694,257
8/8/21,Sabah,0,1379,463
8/8/21,Sarawak,3,581,402
8/8/21,Selangor,0,6565,8205
8/8/21,Terengganu,0,598,546
8/8/21,W.P. Kuala Lumpur,6,1883,1909
8/8/21,W.P. Labuan,0,2,25
8/8/21,W.P. Putrajaya,0,63,51
8/9/21,Johor,1,1232,1261
8/9/21,Kedah,0,1328,1215
8/9/21,Kelantan,0,914,462
8/9/21,Melaka,0,360,495
8/9/21,Negeri Sembilan,0,1215,554
8/9/21,Pahang,0,604,500
8/9/21,Perak,0,935,812
8/9/21,Perlis,0,22,2
8/9/21,Pulau Pinang,0,908,258
8/9/21,Sabah,0,1247,858
8/9/21,Sarawak,0,589,465
8/9/21,Selangor,28,5740,6701
8/9/21,Terengganu,0,501,11
8/9/21,W.P. Kuala Lumpur,0,1567,1485
8/9/21,W.P. Labuan,0,8,11
8/9/21,W.P. Putrajaya,0,66,97
8/10/21,Johor,0,1344,722
8/10/21,Kedah,0,1830,968
8/10/21,Kelantan,0,1030,447
8/10/21,Melaka,0,578,583
8/10/21,Negeri Sembilan,0,564,713
8/10/21,Pahang,0,539,299
8/10/21,Perak,0,953,795
8/10/21,Perlis,0,24,16
8/10/21,Pulau Pinang,0,743,475
8/10/21,Sabah,0,1383,939
8/10/21,Sarawak,0,836,565
8/10/21,Selangor,0,7338,6576
8/10/21,Terengganu,0,378,656
8/10/21,W.P. Kuala Lumpur,0,2374,2365
8/10/21,W.P. Labuan,0,1,16
8/10/21,W.P. Putrajaya,0,76,123
